#  Calaveras County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-4.31
201402,-3.41
201403,-3.36
201404,-3.27
201405,-3.23
201406,-3.22
201407,-3.4
201408,-3.32
201409,-2.73
201410,-3.02
201411,-2.92
201412,-2.14
201501,-3.27
201502,-3.13
201503,-4.13
201504,-3.93
201505,-3.57
201506,-3.39
201507,-3.57
201508,-3.44
201509,-3.49
201510,-3.28
201511,0.35
201512,0.78
201601,1.38
201602,-0.95
201603,-0.2
201604,-0.23
201605,-0.47
201606,-0.66
201607,-1.1
201608,-1.25
201609,-1.49
201610,2.16
201611,1.37
201612,1.19
201701,3.47
201702,5.09
201703,4.21
201704,4.55
201705,-0.34
201706,-0.44
201707,-0.83
201708,-1.06
201709,-1.22
201710,-1.66
201711,-1.02
201712,-2.11
201801,-2.2
201802,-2.93
201803,-1.23
201804,-0.8
201805,-1.02
201806,-1.18
201807,-1.59
201808,-1.83
201809,-2.07
201810,-2.37
201811,0.63
201812,-0.7
201901,0.26
201902,2
201903,2.4
201904,1.74
201905,3.56
201906,3.56
201907,3.45
201908,3.1
201909,3.03
201910,-0.7
201911,-1.16
201912,-0.32
202001,-1.15
202002,-2.22
202003,-1.61
202004,-1.49
202005,-1.03
202006,-0.8
202007,-0.89
202008,-0.99
202009,-1.31
202010,-2.11
202011,-2.33
202012,-2.54
202101,-2.1
202102,-2.53
202103,-2.75
202104,-3.35
202105,-3.8
202106,-4.52
202107,-5.13
202108,-5.05
202109,-4.83
202110,-1.8
202111,-2.93
202112,-1.73
202201,-2.84
202202,-3.61
202203,-4.26
202204,-3.78
202205,-3.89
202206,-3.75
202207,-3.81
202208,-3.51
202209,-2.56
202210,-3.11
202211,-2.9
202212,2.14
202301,3.53
202302,3.11
202303,4.63
202304,-0.8
202305,-0.93
202306,-1.19
202307,-1.37
202308,-1.23
202309,-1.09
202310,-1.32
202311,-1.62
202312,-1.81
202401,0
202402,0.54
202403,1.11
202404,-0.2
202405,-0.15
202406,-0.24
202407,-1
202408,-1.24
202409,-1.56
202410,-2.24
202411,-2.05
202412,-1.9
