#  San Benito County, California Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
201401,-6.49
201402,-6.13
201403,-5.98
201404,-5.73
201405,-6.72
201406,-7.31
201407,-7.47
201408,-7.11
201409,-6.62
201410,-6.44
201411,-5.88
201412,-4.21
201501,-4.96
201502,-5.19
201503,-5.92
201504,-5.81
201505,-5.64
201506,-5.88
201507,-5.9
201508,-5.54
201509,-5.3
201510,-5.05
201511,0.74
201512,0.64
201601,1.56
201602,-0.84
201603,-0.3
201604,-0.43
201605,-0.19
201606,-0.17
201607,-0.51
201608,-0.67
201609,-0.92
201610,1.03
201611,0.7
201612,0.14
201701,2.2
201702,2.65
201703,-0.48
201704,-0.55
201705,-0.39
201706,-0.39
201707,-0.64
201708,-0.85
201709,-1.08
201710,-1.52
201711,-2.01
201712,-3.09
201801,-3.19
201802,-3.98
201803,-2.76
201804,-2.75
201805,-2.97
201806,-3.15
201807,-3.31
201808,-3.32
201809,-3.32
201810,-3.44
201811,0.61
201812,0.28
201901,0.27
201902,1.52
201903,1.29
201904,0.53
201905,1.32
201906,1.59
201907,0.01
201908,-0.1
201909,-0.35
201910,-0.88
201911,-0.88
201912,1.24
202001,-0.58
202002,-1.54
202003,0.38
202004,0.56
202005,0.81
202006,0.95
202007,-0.03
202008,-0.15
202009,-0.5
202010,-1.19
202011,-1.67
202012,-2.36
202101,-1.54
202102,-2.36
202103,-2.62
202104,-3.21
202105,-3.93
202106,-4.52
202107,-4.85
202108,-4.76
202109,-4.63
202110,-3.1
202111,-3.56
202112,-2.05
202201,-2.94
202202,-3.69
202203,-4.04
202204,-4.17
202205,-4.65
202206,-4.95
202207,-5.13
202208,-4.93
202209,-4.53
202210,-4.66
202211,0.14
202212,1.19
202301,3.08
202302,2.9
202303,4.01
202304,2.95
202305,3.05
202306,2.95
202307,2.92
202308,2.58
202309,2.11
202310,1.34
202311,0.84
202312,0.99
202401,0.96
202402,2.12
202403,2.18
202404,2.11
202405,2.26
202406,2.45
202407,-0.13
202408,-0.46
202409,-0.6
202410,-1.26
202411,-1.1
202412,-1.51
