#  Inyo County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.09
201402,0.39
201403,0.84
201404,0.17
201405,0.2
201406,0
201407,0.5
201408,0.73
201409,0.37
201410,0
201411,0.05
201412,1.34
201501,0.64
201502,0.48
201503,0.23
201504,0.06
201505,0.73
201506,0.1
201507,1.12
201508,0.07
201509,0.04
201510,1.44
201511,0.16
201512,0.1
201601,1.02
201602,0.56
201603,0.29
201604,0.98
201605,0.26
201606,0.27
201607,0.11
201608,0.04
201609,0.02
201610,0.31
201611,0.18
201612,0.87
201701,3.87
201702,1.89
201703,0.06
201704,0.56
201705,0.39
201706,0.01
201707,0.12
201708,0.31
201709,0.31
201710,0
201711,0.15
201712,0.01
201801,0.91
201802,0.13
201803,1.16
201804,0.25
201805,0.24
201806,0
201807,0.67
201808,0.02
201809,0.03
201810,0.33
201811,0.41
201812,0.37
201901,1.64
201902,2.2
201903,2.37
201904,0.17
201905,1.12
201906,0.04
201907,0.07
201908,0.15
201909,0.03
201910,0
201911,0.99
201912,1.22
202001,0.05
202002,0.25
202003,1.24
202004,0.96
202005,0.05
202006,0.07
202007,0
202008,0.01
202009,0
202010,0
202011,0.1
202012,0.26
202101,0.66
202102,0.13
202103,0.28
202104,0.04
202105,0.01
202106,0.01
202107,1.02
202108,0.02
202109,0.08
202110,0.42
202111,0.05
202112,1.89
202201,0.01
202202,0.05
202203,0.19
202204,0.04
202205,0
202206,0.09
202207,0.17
202208,1.24
202209,0.53
202210,0
202211,0.44
202212,1.04
202301,2.95
202302,1.44
202303,2.06
202304,0
202305,0.08
202306,0.33
202307,0.07
202308,1.48
202309,0.29
202310,0.07
202311,0.17
202312,0.44
202401,0.9
202402,3.25
202403,1.06
202404,0.22
202405,0.03
202406,0
202407,0.25
202408,0.02
202409,0.01
202410,0.02
202411,0.27
202412,0.12
