#  Madera County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.92
201402,2.87
201403,1.94
201404,1.59
201405,0.24
201406,0.02
201407,0.21
201408,0.12
201409,0.47
201410,0.14
201411,1.39
201412,4.05
201501,0.16
201502,1.82
201503,0.25
201504,1.69
201505,0.91
201506,0.14
201507,0.51
201508,0.02
201509,0.28
201510,1.22
201511,3.05
201512,4.37
201601,6.12
201602,1.13
201603,4.57
201604,2.53
201605,0.63
201606,0.23
201607,0.02
201608,0.01
201609,0.08
201610,2.44
201611,1.71
201612,4.61
201701,11.94
201702,8.14
201703,2.34
201704,3.25
201705,0.33
201706,0.14
201707,0
201708,0.44
201709,0.78
201710,0.21
201711,2.03
201712,0.16
201801,2.56
201802,0.59
201803,8.71
201804,2.18
201805,0.37
201806,0
201807,0.11
201808,0.01
201809,0.05
201810,0.5
201811,4.2
201812,1.44
201901,4.9
201902,6.9
201903,4.19
201904,0.86
201905,3.63
201906,0.12
201907,0.09
201908,0
201909,0.04
201910,0.01
201911,1.2
201912,3.36
202001,0.92
202002,0.1
202003,3.37
202004,3.09
202005,0.67
202006,0.11
202007,0.02
202008,0.07
202009,0.02
202010,0
202011,1.07
202012,1.62
202101,4.19
202102,0.65
202103,1.73
202104,0.29
202105,0.13
202106,0.08
202107,0.2
202108,0.29
202109,0.04
202110,3.05
202111,0.58
202112,7.82
202201,0.03
202202,0.12
202203,1.71
202204,1.77
202205,0.02
202206,0.02
202207,0.05
202208,0.33
202209,0.74
202210,0.03
202211,1.95
202212,7.43
202301,9.58
202302,4.49
202303,9.66
202304,0.06
202305,0.87
202306,0.37
202307,0.01
202308,0.51
202309,0.43
202310,0.08
202311,1.15
202312,1.18
202401,3.86
202402,6.22
202403,3.75
202404,2.36
202405,0.81
202406,0.03
202407,0.19
202408,0.05
202409,0.12
202410,0.09
202411,2.99
202412,2.13
