#  Shasta County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.64
201402,8.78
201403,8.91
201404,1.46
201405,0.46
201406,0.1
201407,0.1
201408,0.33
201409,1.8
201410,3.51
201411,4.24
201412,14.19
201501,0.67
201502,6.57
201503,1.5
201504,1.64
201505,1.5
201506,0.57
201507,0.46
201508,0.03
201509,0.71
201510,0.88
201511,2.54
201512,10.58
201601,13.62
201602,2.58
201603,11.39
201604,2.01
201605,2.2
201606,1.67
201607,0.01
201608,0.01
201609,0.01
201610,9.56
201611,5.82
201612,8.33
201701,14.71
201702,13.88
201703,6.09
201704,6.67
201705,0.48
201706,0.77
201707,0
201708,0.11
201709,0.44
201710,0.81
201711,8.48
201712,0.51
201801,5.62
201802,0.41
201803,7.9
201804,5.39
201805,1.57
201806,0.12
201807,0.05
201808,0
201809,0.05
201810,1.19
201811,6
201812,5.83
201901,9.06
201902,14.17
201903,10.09
201904,4.1
201905,5.23
201906,0.16
201907,0
201908,0.72
201909,1.27
201910,0.28
201911,1.44
201912,8.32
202001,5.45
202002,0.03
202003,5.73
202004,1.48
202005,4.16
202006,0.31
202007,0.07
202008,0.26
202009,0
202010,0.04
202011,2.46
202012,3.31
202101,5.55
202102,3.39
202103,3.4
202104,0.79
202105,0.16
202106,0.05
202107,0.03
202108,0
202109,0.9
202110,7.99
202111,3.26
202112,7.79
202201,1.52
202202,0.07
202203,1.29
202204,4.16
202205,0.43
202206,1.14
202207,0.06
202208,0.02
202209,1.15
202210,0.03
202211,3.26
202212,10.56
202301,12.13
202302,3.3
202303,13.58
202304,1.57
202305,2.49
202306,0.85
202307,0.02
202308,0.78
202309,1.49
202310,0.42
202311,2.65
202312,6.62
202401,8.81
202402,9.72
202403,8.4
202404,2.27
202405,1.54
202406,0
202407,0
202408,0.75
202409,0.41
202410,0.99
202411,11.58
202412,10.8
