#  San Joaquin County, California Precipitation
# Units: Inches
# Missing: -99
Date,Value
201401,0.21
201402,2.97
201403,1.89
201404,1.13
201405,0.01
201406,0.01
201407,0
201408,0
201409,0.42
201410,0.41
201411,1.18
201412,6.17
201501,0.01
201502,1.68
201503,0.25
201504,1.04
201505,0.15
201506,0.1
201507,0.01
201508,0.04
201509,0.01
201510,0.22
201511,1.96
201512,2.22
201601,4.86
201602,0.68
201603,3.75
201604,2.15
201605,0.29
201606,0
201607,0
201608,0
201609,0
201610,2.86
201611,1.43
201612,2.31
201701,7.4
201702,5.52
201703,2.01
201704,2.15
201705,0.08
201706,0.06
201707,0
201708,0.02
201709,0.01
201710,0.14
201711,1.58
201712,0.11
201801,3.12
201802,0.62
201803,3.01
201804,2.13
201805,0.15
201806,0
201807,0
201808,0
201809,0
201810,0.59
201811,2.51
201812,2.22
201901,2.73
201902,5.05
201903,2.9
201904,0.59
201905,2.15
201906,0
201907,0
201908,0
201909,0.22
201910,0
201911,0.71
201912,3.25
202001,1.05
202002,0
202003,2
202004,1.17
202005,0.47
202006,0
202007,0
202008,0.01
202009,0
202010,0
202011,0.26
202012,1.64
202101,3.06
202102,0.92
202103,0.98
202104,0.07
202105,0
202106,0
202107,0
202108,0
202109,0.02
202110,3.96
202111,0.56
202112,4.65
202201,0.04
202202,0.03
202203,0.68
202204,0.82
202205,0.01
202206,0.07
202207,0
202208,0
202209,0.32
202210,0
202211,1.27
202212,7.51
202301,7.09
202302,2.18
202303,5.2
202304,0.15
202305,0.37
202306,0
202307,0
202308,0.02
202309,0.04
202310,0.24
202311,0.62
202312,2.66
202401,3.66
202402,3.5
202403,2.26
202404,2
202405,0.51
202406,0
202407,0
202408,0.06
202409,0
202410,0.03
202411,1.91
202412,2.65
