#  Alameda County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-5.3
201402,-0.63
201403,-2.2
201404,-0.98
201405,-4.89
201406,-3.97
201407,-2.82
201408,-1.39
201409,0.2
201410,-1.54
201411,-1.08
201412,6.81
201501,-3.68
201502,-1.41
201503,-3.88
201504,-0.97
201505,-1.18
201506,-1.01
201507,-1.31
201508,-0.85
201509,-0.99
201510,-2.42
201511,0.24
201512,0.28
201601,1.91
201602,-2.72
201603,2.68
201604,0.47
201605,0.29
201606,0.06
201607,-0.68
201608,-0.55
201609,-0.92
201610,5.36
201611,-0.47
201612,0.2
201701,6.22
201702,4.91
201703,-0.4
201704,1.51
201705,-0.01
201706,0.61
201707,-0.26
201708,-0.65
201709,-0.86
201710,-1.82
201711,0.1
201712,-3.9
201801,-0.54
201802,-3.36
201803,1.3
201804,1.26
201805,-0.72
201806,-0.31
201807,-0.57
201808,-0.69
201809,-0.92
201810,-1.93
201811,0.19
201812,-1.65
201901,-0.65
201902,4.23
201903,1.81
201904,-1.7
201905,3.96
201906,1.58
201907,0.14
201908,-0.25
201909,-0.23
201910,-2.07
201911,-1.81
201912,-0.11
202001,-2.74
202002,-4.28
202003,-0.97
202004,-0.41
202005,-2.6
202006,-3.34
202007,-2.33
202008,-1.19
202009,-1.34
202010,-2.86
202011,-2.61
202012,-2.46
202101,-1.58
202102,-3.08
202103,-2.41
202104,-2.89
202105,-4.86
202106,-4.25
202107,-2.94
202108,-1.55
202109,-1.17
202110,8.19
202111,-0.97
202112,3.71
202201,-3.43
202202,-3.4
202203,-3.21
202204,-0.69
202205,-2.5
202206,-2.31
202207,-1.79
202208,-1.12
202209,0.89
202210,-2.29
202211,-0.21
202212,7.06
202301,6.65
202302,0.71
202303,4.9
202304,-1.91
202305,0.62
202306,-0.04
202307,0.2
202308,-0.47
202309,-0.71
202310,-2.02
202311,-2.04
202312,-0.45
202401,1
202402,1.81
202403,0.9
202404,0.03
202405,1.52
202406,0.58
202407,-0.75
202408,-1.12
202409,-1.14
202410,-2.59
202411,-0.17
202412,0.37
