#  Butte County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-3.11
201402,2.33
201403,1.34
201404,-1.74
201405,-1.68
201406,-2.69
201407,-2.34
201408,0.56
201409,-0.08
201410,-0.82
201411,-0.3
201412,3.01
201501,-3.95
201502,-1.12
201503,-3.68
201504,-1.37
201505,-1.89
201506,-2.66
201507,-2.35
201508,-0.69
201509,-0.91
201510,-2.09
201511,-0.39
201512,0.4
201601,2.58
201602,-2.34
201603,3.59
201604,-1.39
201605,-0.88
201606,-0.88
201607,-1.29
201608,-0.71
201609,-1.38
201610,6.07
201611,-3.29
201612,0.25
201701,3.45
201702,3.58
201703,-0.52
201704,2.33
201705,-1.62
201706,-0.57
201707,-1.38
201708,-1.15
201709,-0.64
201710,-1.78
201711,2.28
201712,-3.85
201801,-1.18
201802,-2.71
201803,2.18
201804,1.42
201805,-1.32
201806,-1.5
201807,-1.92
201808,-1.08
201809,-1.42
201810,-1.56
201811,0.54
201812,-1.46
201901,1.4
201902,5.27
201903,1.59
201904,-0.89
201905,4.43
201906,0.75
201907,0.28
201908,-0.33
201909,1.73
201910,-2.19
201911,-1.82
201912,1.33
202001,-2.09
202002,-3.09
202003,-1.46
202004,-1.31
202005,2.17
202006,0.74
202007,-0.41
202008,-0.63
202009,-1.64
202010,-2.82
202011,-1.23
202012,-1.17
202101,-1.36
202102,-1.59
202103,-1.13
202104,-2.49
202105,-2.8
202106,-3.89
202107,-3.24
202108,-1.19
202109,-0.84
202110,5.91
202111,-4.18
202112,0.68
202201,-3.57
202202,-3
202203,-2.98
202204,-0.07
202205,-1.27
202206,0.4
202207,-0.63
202208,-0.83
202209,1.71
202210,-2.65
202211,-0.47
202212,1.94
202301,2.46
202302,-0.94
202303,4.33
202304,-1.56
202305,-0.2
202306,-0.41
202307,-0.59
202308,0.08
202309,0.76
202310,-1.34
202311,-1.39
202312,-0.03
202401,0.45
202402,1.31
202403,0.26
202404,-1.3
202405,0.48
202406,-0.74
202407,-2.78
202408,0.53
202409,-1.53
202410,-2.35
202411,3.53
202412,-0.01
