#  San Benito County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-5.05
201402,-0.92
201403,-1.43
201404,-1.1
201405,-4.75
201406,-3.84
201407,-2.74
201408,-1.22
201409,-0.75
201410,-1.49
201411,-0.31
201412,3.21
201501,-3.55
201502,-2.23
201503,-3.81
201504,-1.5
201505,-1.28
201506,-2.44
201507,-1.9
201508,-0.72
201509,-0.99
201510,-0.89
201511,2.23
201512,-0.08
201601,2.96
201602,-2.51
201603,1.35
201604,-0.48
201605,0.57
201606,0.02
201607,-1.07
201608,-0.66
201609,-0.93
201610,3.1
201611,-0.67
201612,-1.48
201701,6.23
201702,2.04
201703,-1.43
201704,-0.35
201705,0.29
201706,-0.1
201707,-0.87
201708,-0.85
201709,-0.96
201710,-1.65
201711,-1.95
201712,-3.85
201801,-1.27
201802,-3.36
201803,2.44
201804,-0.81
201805,-1.53
201806,-1.44
201807,-1.45
201808,-1.06
201809,-1.01
201810,-1.41
201811,1.83
201812,-0.79
201901,0.05
201902,3.82
201903,-0.2
201904,-1.88
201905,2.52
201906,1.22
201907,0.02
201908,-0.29
201909,-0.79
201910,-1.69
201911,-0.29
201912,3.71
202001,-1.75
202002,-3.07
202003,1.14
202004,0.65
202005,0.91
202006,0.68
202007,-0.09
202008,-0.38
202009,-1.09
202010,-2.23
202011,-1.8
202012,-2.59
202101,1.72
202102,-2.93
202103,-1.49
202104,-2.59
202105,-3.15
202106,-2.99
202107,-2.38
202108,-1.24
202109,-1.08
202110,3.18
202111,-2.35
202112,3.42
202201,-3.3
202202,-3.16
202203,-2.18
202204,-1.62
202205,-2.73
202206,-2.34
202207,-2.07
202208,-0.99
202209,-0.3
202210,-1.79
202211,0.41
202212,3.21
202301,6.04
202302,0.4
202303,4.22
202304,-1.94
202305,1.21
202306,0.65
202307,0.83
202308,-0.13
202309,-0.6
202310,-1.66
202311,-1.08
202312,0.71
202401,0.2
202402,3.79
202403,0.84
202404,0.47
202405,1.1
202406,1.25
202407,-0.4
202408,-1.04
202409,-0.54
202410,-2.18
202411,0.11
202412,-1.58
