#  Solano County, California Palmer Z-Index
# Missing: -99
Date,Value
201401,-4.85
201402,0.93
201403,-1.84
201404,0.03
201405,-2.73
201406,-2.72
201407,-1.82
201408,-0.73
201409,0.78
201410,-1.4
201411,-1.09
201412,5.34
201501,-4.06
201502,-1.27
201503,-3.83
201504,-0.8
201505,-1.6
201506,-1.35
201507,-1.28
201508,-0.74
201509,-0.82
201510,-2.09
201511,-0.9
201512,-1.08
201601,2.08
201602,-2.9
201603,3.39
201604,-0.69
201605,-0.05
201606,-0.86
201607,-1.04
201608,-0.58
201609,-0.87
201610,3.82
201611,-0.85
201612,0.07
201701,8.07
201702,5.48
201703,0.05
201704,2.25
201705,0.31
201706,1.15
201707,-0.1
201708,-0.51
201709,-0.89
201710,-1.78
201711,-0.1
201712,-3.76
201801,-0.86
201802,-3.52
201803,1.97
201804,1.21
201805,-0.52
201806,-0.31
201807,-0.56
201808,-0.6
201809,-0.84
201810,-1.79
201811,0.78
201812,-1.51
201901,1.29
201902,5.51
201903,2.17
201904,-1.68
201905,3.74
201906,1.51
201907,-0.1
201908,-0.33
201909,-0.56
201910,-1.99
201911,-2.16
201912,1.82
202001,-2.8
202002,-3.69
202003,-1.96
202004,-1.45
202005,-1.89
202006,-2.6
202007,-1.74
202008,-0.75
202009,-1.11
202010,-2.62
202011,-2.19
202012,-2.56
202101,-1.82
202102,-2.96
202103,-2.42
202104,-3.23
202105,-5.2
202106,-4.26
202107,-2.53
202108,-1.12
202109,-0.93
202110,8.37
202111,-0.48
202112,3.36
202201,-3.69
202202,-3.28
202203,-3.17
202204,-1.33
202205,-2.59
202206,-2.33
202207,-1.7
202208,-0.81
202209,1.53
202210,-2.22
202211,-1.04
202212,4.28
202301,5.42
202302,-0.11
202303,6.64
202304,-1.63
202305,0.21
202306,-0.17
202307,0.28
202308,-0.29
202309,-0.41
202310,-1.32
202311,-1.86
202312,-0.63
202401,-0.33
202402,1.94
202403,-0.1
202404,-0.63
202405,0.62
202406,-0.39
202407,-1.25
202408,-0.95
202409,-1.02
202410,-2.27
202411,2.02
202412,1.05
